Day,New cases,New cases in quarantine,New cases in quarantine,Death,Recovered,Total case,Total death,Total recoverd,Once injected,Twice injected,Total once injected,Total twice injected,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
1/1/2021,9,,,0,0,1474,35,1325,,,,,-2,20,11,-1,-60,3
2/1/2021,8,,,0,12,1482,35,1337,,,,,-13,11,-5,-12,-28,1
3/1/2021,12,,,0,2,1494,35,1339,,,,,-13,7,-5,2,-12,-3
4/1/2021,3,,,0,0,1497,35,1339,,,,,-17,5,-19,-2,17,-3
5/1/2021,7,,,0,0,1504,35,1339,,,,,-19,6,-21,-4,20,-4
6/1/2021,1,,,0,14,1505,35,1353,,,,,-15,3,-23,-7,20,-5
7/1/2021,4,,,0,0,1509,35,1353,,,,,-17,3,-24,-11,17,-6
8/1/2021,3,,,0,4,1512,35,1357,,,,,-12,3,-25,-8,6,-3
9/1/2021,1,,,0,4,1513,35,1361,,,,,-9,9,-25,-8,5,-2
10/1/2021,1,,,0,0,1514,35,1361,,,,,-7,10,-15,-8,-7,-2
11/1/2021,1,,,0,0,1515,35,1361,,,,,-14,7,-22,-8,17,-4
12/1/2021,5,,,0,0,1520,35,1361,,,,,-14,11,-22,-5,20,-6
13/01/2021,1,,,0,8,1521,35,1369,,,,,-15,2,-25,-10,19,-7
14/01/2021,10,,,0,0,1531,35,1369,,,,,-16,0,-26,-13,12,-10
15/01/2021,5,,,0,11,1536,35,1380,,,,,-11,-1,-26,-11,-1,-6
16/01/2021,1,,,0,0,1537,35,1380,,,,,-9,4,-25,-9,-4,-5
17/01/2021,0,,,0,0,1537,35,1380,,,,,-11,3,-20,-13,-13,-4
18/01/2021,2,,,0,22,1539,35,1402,,,,,-15,2,-22,-10,11,-6
19/01/2021,1,,,0,0,1540,35,1402,,,,,-17,2,-26,-9,14,-7
20/01/2021,4,,,0,4,1544,35,1406,,,,,-14,-2,-26,-11,14,-8
21/01/2021,2,,,0,5,1546,35,1411,,,,,-16,-1,-25,-13,11,-10
22/01/2021,2,,,0,0,1548,35,1411,,,,,-10,-1,-23,-9,1,-6
23/01/2021,0,,,0,0,1548,35,1411,,,,,-8,6,-21,-7,-1,-5
24/01/2021,0,,,0,0,1548,35,1411,,,,,-6,7,-10,-7,-8,-5
25/01/2021,1,,,0,14,1549,35,1425,,,,,-13,3,-21,-10,13,-6
26/01/2021,2,,,0,5,1551,35,1430,,,,,-14,6,-22,-7,15,-7
27/01/2021,0,,,0,0,1551,35,1430,,,,,-13,1,-24,-9,15,-8
28/01/2021,9,,,0,0,1560,35,1430,,,,,-15,2,-25,-12,12,-10
29/01/2021,97,,,0,18,1657,35,1448,,,,,-10,4,-26,-8,1,-7
30/01/2021,110,,,0,8,1767,35,1456,,,,,-10,11,-27,-8,-1,-7
31/01/2021,50,,,0,1,1817,35,1457,,,,,-11,12,-19,-11,-11,-7
1/2/2021,33,,,0,3,1850,35,1460,,,,,-13,11,-21,-11,3,-10
2/2/2021,32,,,0,0,1882,35,1460,,,,,-15,14,-23,-9,0,-9
3/2/2021,29,,,0,1,1911,35,1461,,,,,-14,11,-24,-14,-4,-10
4/2/2021,46,,,0,4,1957,35,1465,,,,,-18,10,-24,-22,-10,-9
5/2/2021,19,,,0,0,1976,35,1465,,,,,-9,13,-19,-15,-20,-6
6/2/2021,5,,,0,3,1981,35,1468,,,,,-9,21,-16,-8,-22,-5
7/2/2021,20,,,0,4,2001,35,1472,,,,,-8,22,0,-8,-22,-7
8/2/2021,49,,,0,0,2050,35,1472,,,,,-7,32,2,-13,-34,-5
9/2/2021,19,,,0,2,2069,35,1474,,,,,-16,35,0,-14,-45,-3
10/2/2021,22,,,0,6,2091,35,1480,,,,,-10,57,21,-18,-66,-5
11/2/2021,49,,,0,48,2140,35,1528,,,,,-28,30,16,-42,-71,-3
12/2/2021,2,,,0,1,2142,35,1529,,,,,-37,-29,24,-53,-79,1
13/02/2021,53,,,0,0,2195,35,1529,,,,,-31,-16,23,-42,-73,-5
14/02/2021,33,,,0,3,2228,35,1532,,,,,-26,-14,28,-40,-54,-8
15/02/2021,41,,,0,14,2269,35,1546,,,,,-21,-7,29,-35,-73,-4
16/02/2021,42,,,0,27,2311,35,1573,,,,,-27,-8,4,-31,-69,-3
17/02/2021,18,,,0,7,2329,35,1580,,,,,-24,-7,-14,-27,-30,-8
18/02/2021,18,,,0,25,2347,35,1605,,,,,-28,-8,-22,-35,-30,-7
19/02/2021,15,,,0,22,2362,35,1627,,,,,-23,-5,-23,-30,-31,-4
20/02/2021,6,,,0,0,2368,35,1627,,,,,-23,-1,-26,-28,-29,-3
21/02/2021,15,,,0,90,2383,35,1717,,,,,-21,3,-18,-25,-26,-5
22/02/2021,9,,,0,0,2392,35,1717,,,,,-22,-2,-25,-27,-10,-6
23/02/2021,9,,,0,0,2401,35,1717,,,,,-24,0,-26,-25,-8,-7
24/02/2021,11,,,0,73,2412,35,1790,,,,,-22,-4,-28,-28,-7,-8
25/02/2021,8,,,0,14,2420,35,1804,,,,,-24,0,-28,-30,-9,-9
26/02/2021,6,,,0,35,2426,35,1839,,,,,-19,0,-25,-27,-18,-6
27/02/2021,6,,,0,5,2432,35,1844,,,,,-18,0,-27,-22,-18,-5
28/02/2021,16,,,0,32,2448,35,1876,,,,,-19,-2,-22,-21,-25,-5
1/3/2021,13,,,0,16,2461,35,1892,,,,,-19,0,-28,-21,-2,-8
2/3/2021,11,,,0,6,2472,35,1898,,,,,-19,4,-28,-17,2,-10
3/3/2021,10,,,0,0,2482,35,1898,,,,,-17,-1,-30,-21,2,-11
4/3/2021,6,,,0,22,2488,35,1920,,,,,-19,0,-30,-23,0,-12
5/3/2021,6,,,0,0,2494,35,1920,,,,,-12,2,-29,-19,-8,-9
6/3/2021,13,,,0,0,2507,35,1920,,,,,-7,10,-23,-16,-11,-8
7/3/2021,5,,,0,0,2512,35,1920,440,4,0,0,-3,13,-11,-13,-21,-8
8/3/2021,12,,,0,0,2524,35,1920,1651,223,377,0,2,17,-16,-12,2,-12
9/3/2021,2,,,0,84,2526,35,2004,1694,31,522,0,-14,8,-26,-14,5,-11
10/3/2021,3,,,0,0,2529,35,2004,1077,13,955,0,-12,5,-26,-16,6,-12
11/3/2021,4,,,0,44,2533,35,2048,2818,81,1585,0,-14,6,-26,-17,4,-13
12/3/2021,17,,,0,38,2550,35,2086,4987,88,5248,0,-8,10,-24,-12,-6,-10
13/03/2021,3,,,0,0,2553,35,2086,4241,170,10041,0,-6,13,-20,-12,-9,-8
14/03/2021,1,,,0,0,2554,35,2086,1799,37,11605,0,-3,15,-7,-8,-19,-9
15/03/2021,3,,,0,29,2557,35,2115,3550,71,15865,0,-11,10,-21,-11,5,-11
16/03/2021,3,,,0,43,2560,35,2158,7572,32,20695,0,-14,10,-24,-11,7,-11
17/03/2021,7,,,0,40,2567,35,2198,2756,12,24054,0,-12,6,-24,-13,9,-12
18/03/2021,3,,,0,0,2570,35,2198,4437,24,27546,0,-13,7,-24,-13,7,-14
19/03/2021,1,,,0,0,2571,35,2198,3785,35,30971,0,-8,8,-22,-8,-3,-10
20/03/2021,1,,,0,0,2572,35,2198,1580,1,32361,0,-5,13,-19,-7,-7,-9
21/03/2021,0,,,0,0,2572,35,2198,1251,5,33891,0,-8,9,-13,-10,-18,-8
22/03/2021,3,,,0,35,2575,35,2233,2230,7,36082,0,-12,10,-21,-9,7,-11
23/03/2021,1,,,0,13,2576,35,2246,2909,6,37911,0,-13,12,-22,-7,10,-12
